plate,review_reason_code,customer_meaning,reviewer_comments,status
G PADLLA,2,FIRST INITIAL AND LAST NAME. GINA PADILLA,G IS THE CUSTOMERS FIRST INITIAL,Y
JANI 323,2,MY NICKNAME AND THE MODEL OF MY CAR,323 AREA CODE,Y
KICROXX,2,I AM A MARATHON RUNNER AND KICK ROCKS OFTEN !!,KICK ROCKS,N
M323M,2,INTIAL AND PRIME NUMBERS,AREA CODE,N
S2BIG4U,1,IS TOO BIG FOR YOU (4X4 JEEP),IS TO BE FOR YOU,N
7O7V7O7,2,DATE,707 AREA CODE,N
DAM HNDL,3,MY INITIALS D.A.M. WORD HANDLE ABBREVIATED,DAMN. DAM IS CUSTOMER'S INITIALS,N
DMNDNYL,3,DAMN DANIEL,"DAMN, CUSTOMER NAME IS DANIEL",N
ET CHET,1,"BRAND NAME, 3D PRINTING METALLIC ENGRAVING, PLAQUES, CUSTOM TROPHIES, SPORTS, ACRYLIC.",EAT CHET,N
L8J 6V9,1,NOT ON QUICKWEB YET,L ATE J… 69? NO 69 ON ANI,N
SIYAPAA,2,"SIYAPAA IS PUNJABI FOR CRAZY. MY JEEP IS KNOWN AS THE BANDARJEEP, OR MONKEY JEEP IN PUNJABI/HINDI.","CANT TRANSLATE, PULLED BASED ON THEIR MEANING ""CRAZY""",Y
T5W6I2N,2,I AM A TWIN THAT HAS GROWN UP IN THE 562 AREA. THE PLATES ARE BOTH COMBINED .LICENSE PLATES HAVE THAT OLD SCHOOL TOUCH,area code 562- LA county,Y
89ROLLA,1,1989 TOYOTA COROLLA SHORT TERM- 89 ROLLA,"NO TOYOTA ON ANI, URBAN DIC SAYS ROLLA=A HO",Y
DAMHD,3,NOT ON QUICKWEB YET,DAMN HARLEY DAVIDSON,N
BBBLUGA,2,NOT ON QUICKWEB YET,"TAGALOG, DARK SKINNED PERSON (BALUGA)",N
SO BARAH,1,NOT ON QUICKWEB YET,GOOGLE SEARCH SHOWS A TRANSLATION OF EAT IN HEBREW…,Y
CWBOY69,1,COWBOY FAN AND BIRTH YEAR,COULDN'T VERIFY 1969,N
HELL SS,3,"THE LICENSE PLATES ARE FOR A CAMARO SS, SO THE SS IS TO REPRESENT THE CAR AND HELL IS SHORT FOR HELLA. TRAYING TO SAY THAT IT'S HELLA FAST.",COULDN'T VERIFY DODGE,Y
ILB562R,2,WEDDING ANNIVERSARY,CA AREA CODE,N
NUDZ PLZ,2,CAR CLUB,NUDES (PICTURES) PLEASE,N
GETN BSY,1,"WE ARE ALWAYS GETTING BUSY IN OUR HOME. I'M A SINGLE MOM, WORK, SCHOOL, BAND, CITY COUNCIL MEETINGS, SPORTS, DR APPT, ETC. GETTING BUSY!!!",GETTING BUSY,Y
ONK OINK,2,OINK,THE SOUND A PIG MAKES,N
CHOKY,2,NOT ON QUICKWEB YET,CHOKE?,Y
DB4L 7O7,2,NOT ON QUICKWEB YET,707 IS HIS AREA CODE IN UKIAH,N
LA213OG,2,NOT ON QUICKWEB YET,"213 LOS ANGELES AREA CODE, ALSO OG",N
PIGZPEN,5,NOT ON QUICKWEB YET,pigs pen… this isnt a m/c or trailer plate. pulled for pig as negative to law enforcement(has a Dodge van/camper),N
RNFNRLR,3,NOT ON QUICKWEB YET,rock and effin roller,N
TETLSTY,1,NOT ON QUICKWEB YET,LUSTY?,Y
VSTNT,2,NOT ON QUICKWEB YET,"VS IS CUSTOMER INITIALS, PULLED FOR TNT, DYNAMITE",N
1GOVCA1,5,NOT ON QUICKWEB YET,"LOOKS LIKE AN OFFICIAL GOVERNMENT PLATE, GOV CA",N
GMA$TNT,2,NOT ON QUICKWEB YET,GRANDMA LOVES DYNAMITE,Y
DUBS 707,2,DUBS REPRESENTS DUBNATION FOR NBA GS WARRIORS AND 7O7 IS MY AREA CODE,707 AREA CODE,N
R8ED R,2,"THIS IS FOR A VOLKSWAGEN GOLF R, HUMOROUS PLAY ON MOVIE RATING - RATED R",RATED R,Y
YLO KITY,1,YELLOW CAR. KITTY IS DRIVER,KITTY,N
510NATE,2,BODY STYLE IS 510 AND PEOPLE CALL ME NATE,510 AREA CODE,Y
628HP,2,628 HORSE,628 AREA CODE,N
805 FORD,2,AREA CODE & VEHICLE MAKE,805 AREA CODE,N
LUVSHK,1,LOVE SHACK,LOVE SHACK,Y
BOZDEEP,1,BEING OVER THE ZONE DAMAGES EVERY EMOTIONS IN PEOPLE,BALLS DEEP?,N
CUCHI68,1,CUCHI IS A LOCATION IN VIETNAM WHERE I SERVED IN 1968,COOCHIE. CU CHI IS A CITY IN VIETNAM.,N
GMONEYY,2,G MONEY. MY NICKNAME,G. FIRST NAME IS GINA,N
GUUCHIE,1,KIDS NICKNAME,GOOCHIE,Y
VR MR 69,1,MINE AND MY SON'S INITIALS,CUSTOMERS INITIALS ARE VR. NO 1969 REGISTERED,N
6T9 REDO,1,THE CAR LOOKS LIKE A REDUE FROM 1960'S,COULDN'T VERIFY 1969,N
69MOBBN,1,THE 69 STANDS FOR THE YEAR OF THE CAR. WHICH IS A 1969 CAMARO. MOBBIN IS A SLANG TERM FOR HANGING OUT AND DRIVING AROUND TOWN WITH OTHER CLASSIC CARS,COULDN'T VERIFY 1969,N
BG TUNA,1,NICKNAME,TUNA,N
BEANSER,2,MY NICKNAME FROM MY CHILDHOOD,LIKE BEANER,N
CLKSKNT,1,SUPERMAN,CLARKS KENT? OR CLARKS KUNT,Y
KYLERHO,1,NAME AND LAST NAME,pulled for ho but it is customer's last name,N
PDEQ,3,NOT ON QUICKWEB YET,"PDQ=PRETTY DAMN QUICK. PDEQ=pão de queijo, meaning 'cheese bread' in Portuguese.",Y
PTWN559,2,CITY AND AREA CODE,559 area code for Parlier (Fresno county),N
RODZ 69,1,NOT ON QUICKWEB YET,NO 69 ON ANI,N
R8DRHMR,1,RAIDER HUMMER,"customer's name is Raider, no Hummer on ani but it says ""additional registrations 5"" so they all arent showing…",N
STEAMBX,1,STEAM BOX,HAS A 2016 TOYOTA P/U. PULLED FOR BOX,N
SURF JP,2,JUST FOR FUN,JP=JAP OR JEEP? DOES HAVE A JEEP THO,Y
TNTSPRT,2,TROY AND TERRI SPORT,tnt=dynamite,N
UDM4SHO,3,ULTIMATE DRIVING MACHINE FOR SHOW,YOU DAMN FO SHO,Y
VCIOUS V,2,THIRD TIME TRYING TO GET SOME CUSTOM PLATES WITH DIFFERENT NAMES. NOTHING OFFENSIVE ON THIS ONE. V STANDS FOR THE MODEL OF THE CAR CTS-V FROM CADILLAC,"HAS A 2007 CADILLAC UT, OK? VICIOUS",N
619 LG,2,NOT ON QUICKWEB YET,pulled for area code. 619=customer's area code in San Ysidro,N
INDO KTY,1,NOT ON QUICKWEB YET,"INDOOR KITTY, THIS IS FOR M/C SO NO 'CAT' CAR HAS HONDA AND TRIUMPH M/C",N
BIFMLBU,3,NICKNAME,FML IN BETWEEN BI BU,N
ILYKIKE,2,EISENHOWER IN 55,I LIKE IKE OR I LOVE YOU KIKE,N
OG ROJO,2,I'M A REDHEAD,OG RED,N
VEGA8O5,2,MY LAST NAME AND CITY OF OXNARD'S AREA CODE,CA AREA CODE,N
13RAMBO,2,BOYFRIENDS NAME,COULDN'T VERIFY 2013 VEHICLE,N
A2229O3,6,A STANDS FOR ARIA MY CHILDS NAME AND NUMBERS ARE BIRTHDATES,LOOKS LIKE A TIN,N
BARRY G,2,MY NAME,CUSTOMER LAST NAME STARTS WITH A G,Y
BLAZE 67,2,NICKNAME IN COLLEGE AND BIRTH YEAR,BLAZE AS IN FIRE OR AS IN SMOKE,N
BLUJANE,2,FICTIONAL CHARACTER,BLUE,N
BLUVL 8,2,BLUE VELVET,BLUE,N
C7595O5,2,KIDS BIRTHDAYS,TIN NUMBER,N
DBL DD,1,DOUBLE DD MEANS OUR NAMES DEAN & DONNA,DOUBLE D,N
DRKMARK,2,BLACK MARK VIII . SO IT'S A DARK MARK,DARK MARK,Y
G5S HUMR,1,FIVE'S HUMMER MY WORK NICKNAME G5 AND MY CAR IS A HUMMER,HUMMER,N
ITS BIG,1,MY CAR HAS A BIG ENGINE V8,IT'S BIG… COULD REFER TO CAR OR ANATOMY,N
JAFO916,2,JAFO = MY NAME - JEFFREY A FORDIS,916 AREA CODE CUSTOMER INTIALS J.A. FORDIS,N
LAYZ 911,4,LAST NAME LAY CAR IS 911,LAZY COP,Y
LIFTEAT,1,LOVE FOR THE GYM,LIFT EAT?,Y
L8R LUZR,2,"IT MEANS LATER LOOSER, I RACE THE CAR ON THE TRACK AND BEING THAT THE CAR IS FAST I WANT JOKE AROUND WITH THE PLATES AFTER I WIN THE RACE.",LATER LOOSER,N
NURS916,2,I'M A NURSE AND I LIVE IN THE 916 AREA CODE.,916 AREA CODE,N
RAMS951,2,LA RAMS FOOTBALL TEAM AND AREA CODE,951 AREA CODE,N
SLW BUS,2,SLOW BUS. FOR A 1978 VW BUS,SLOW BUS,Y
YEKNOD,2,DONKEY SPELLED BACKWARDS,DONKEY,N
11 JEFE,2,THE 11 TH BOSS,JEFE BOSS,N
2BALZJP,1,MR. AND MRS. BALZ JEEP,BALLS CUSTOMER LAST NAME IS BALZ,N
2261O7B,2,BIRTHDAY DAYS MY WIFE AND MY CHILDREN AND MY BIRTHDAY B,LOOKS LIKE TIN,N
805 NOK,2,CAR CLUB,805 AREA CODE,N
831 JEFA,2,BIRTHDATE & BOSS,831 ARA CODE,N
APHUSLE,2,MY INITIALS,AP HUSTLE CUSTOMER INITIALS ARE AP,Y
BLU  RKT,2,"BLUE ROCKET, FOR THE BLUE CAR THE PLATES WILL BE ON.",BLUE ROCKET,N
BY COP,4,BY COP HAVE A GOOD DAY,BYE COP,N
SPMERMD,1,SAN PEDRO MERMAID,IT KIND OF LOOKS LIKE SPERMED,N
WKNDHSL,2,WEEKEND HUST,WEEKEND HUSTLE,Y
GUFFGVR,2,GUFF GIVER,GUFF TO START TROUBLE,Y
FISHBOX,1,I AM STARTING A NEW COMPANY CALLED FISHBOX,FISH. BOX. LIVES IN MALIBU,N
HOT 2NA,2,HOT TUNA. LIKE THE BOAT IN THE SHOW WICKED TUNA,TUNA,N
BLC BST,2,BLACK BEAST - BIG BLACK CAR,BLKBST is unacceptable… car or no?,N
CHP NO,5,"MY CHILDHOOD PETS NAME WAS CHIP, AND I WOULD ALWAYS TELL HIM NO. HE WAS LATER RAN OVER AND NOW THIS IS A MEMORIAL FOIR HIM.","CALIFORNIA HIGHWAY PATROL, NO!",N
CRPNTRK,3,CARPENTRUCK,CRAP IN TRUCK,N
EPEE DR,3,NOT ON QUICKWEB YET,"PEE DR, UROLOGIST?",N
JADBLS1,1,INITIALS,jay double s? or jade balls? Jason L Steger,Y
MEATBUN,1,A MEATBUN IS A TYPE OF FOOD; MEAT COOKED IN A STEAMED FLOUR WRAP. ALSO CALLED A NIKUMAN IN JAPANESE.,"CUSTOMER MEANING IS TRUE, HOWEVER MEAT AND BUN CAN HAVE ANATOMICAL CONNOTATIONS",Y
MIKE 8,1,MY NAME,JOHN MICHAEL EAGAN ATE,Y
SHNKTNK,2,OUR LAST NAME IS SHANK AND WE CALL OUR CAR AND HOME THE TANK.,SHANK IS CUSTOMER LAST NAME BUT SHANK IS TO STAB SOMEONE,N
TONADS,2,MY NICKNAME,name is anthony (tony) looks like gonads (balls)+ his first name,Y
6GINNA9,1,NAME,NO 69 ON ANI,N
LVLYG#,2,NOT ON QUICKWEB YET,LOVELY G,Y
BERTO69,1,OWNERS NAME AND YEAR OF BIRTH,NO 69 VEHICLE ON ANI,N
STR8UPG,2,A COOL GUY,straight up g. g=ganster,N
LUVN8O5,2,LOVE VENTURA COUNTY,CA AREA CODE,N
YE4PLAY,1,YE IS MY SON. 4TH KID THAT PLAYS SPORTS,YEA PLAY OR YEA FOREPLAY,N
DR65OSM,2,DR650 SUPERMOTO,CA AREA CODE,N
XR 65OL,2,MODEL OF MY MOTORCYCLE,CA AREA CODE,N
BARBR69,1,DAD 69 EL CAMINO,COULDN'T VERIFY 1969 VEHICLE,N
MR 5 OH,5,MARK REBULLAR *NAME* 5.0,5 OH,N
NFLXCHL,1,NETFLIX CHANNEL,NETFLIX CHILL,Y
PIMPJCE,2,THE NICKNAME MY FATHER GAVE THE CAR WHEN I BROUGHT IT HOME,PIMP JUICE. A NELLY SONG. A DRINK. MOJO,N
PLAYBOI,2,IT MEANS PLAYBOI,PLAYBOY,Y
BUSY666,2,BUSY SINCE JUNE 1966,666 MARK OF THE BEAST,Y
B658FO,6,"IT DOESN'T REALLY MEAN ANYTHING. I JUST LIKE THE WAY THE NUMBERS AND LETTERS LOOK TOGETHER, (CENTERED) WITH NO GAP OR SPACE IN THE MIDDLE.",LOOK A LIKE?,Y
DETTTKA,1,BABY,RUSSIAN FOR A PROMISCUOUS WOMAN,N
IPA LOT,2,I LIKE HOPPY BEER,I PEE A LOT,N
KGB ROVR,2,INITIALS AND CAR MODEL,KGB GOVERNMENT ORGANIZATION,Y
LUST 66,1,NICKNAME,LUST,Y
SKRTSKR,1,NICKNAME,SKIRT SEEKER,Y
TRKTWRK,1,TRUCK TO WORK,TWERK,N
Y1O3P8,6,FAMILY,LOOKS LIKE A LEGACY CONFIGURATION,N
1EL GATO,1,IT'S SPANISH FOR THE CAT,1 CAT,N
1OT 13B,6,NAME INITIALS AND BIRTHDAY,LOOK A LIKE?,N
2OH9 GTO,2,PONTIAC GTO FROM THE 209 AREA CODE,209 AREA CODE,N
805 TIME,2,AREA CODE TIME,805 AREA CODE,N
831 MTNS,2,THE PLACE WERE I WAS BORN AND RAISED. THE SANTA CRUZ MOUNTAINS.,831 AREA CODE,N
84D 6UY,6,PEACE AND LOVE,BAD GUY(ADDED JUST IN CASE),N
911 4KGB,2,CAR MODEL AND MY INITIALS,KGB GOVERNMENT ORGANIZATION,Y
91650CA,2,916 IS SACRAMENTO ZIP CODE AND 650 IS SSF ZIP CODE. MAKING 91650 CALIFORNIA = CA,916 AREA CODE 50 CAR TYPE CUSTOMER LIVES IN SACRAMENTO,N
KLI$MXX,1,NAME OF DAUGHTER AND SON; KALISTA AND MAXX.,LOOKS LIKE CLIMAX,N
LILBEEP,3,ITS A TINY CAR WITH A TINY HORN SOUND,LIL CURSE WORD BEEP SOUND,Y
HOTNBLU,2,BLUE CONVERTIBLE,BLUE,Y
BLUE JWL,2,MY BEAUTIFUL NEW MERCEDES BENZ BLUE E350,BLUE,Y
MZPINKE,1,MS. PINKIE (MY NICKNAME),PINK,N
1BIGBVR,1,ONE BIG BEAVER. IT IS A 40' BEAVER MOTORHOME,1 BIG BEAVER,N
EWUZNME,2,"""IT WASN'T ME.""","USING ME, YOU WAS IN ME",N
213 RIDR,2,"213) AREA CADE, RIDER",213 AREA CODE,N
ORALE G,2,IT MEAN'S WHATS UP GEORGE,"G. CUSTOMERS NAME IS GEORGE. ORALE IS ""APPROVAL OR ENCOURAGEMENT""",N
WIDEHOE,2,ITS FOR MY TAHOE,CUSTOMER OWNS A CHEVY,N
RUBAHOE,3,NICKNAME,CUSTOMER'S NAME IS RUBIO. COULDN'T VERIFY CHEVY,N
BATLVAN,2,BATTLE VAN,GOING TO BATTLE IN THIS VAN,Y
GMEN 7O,5,THE GUARDSMEN 70TH PRESIDENTIAL PLATES,G-MAN=CIA OR FBI,Y
KABOOOM,2,KABOOM,EXPLOSION,N
MABEATR,2,OLDER COMMUTER,"MY BEATER, BEATER CAN REFER TO AN OLD CAR… BUT PULLED FOR BEAT AND EAT",N
NCNEATS,1,NOT ON QUICKWEB YET,EATS,N
O5 BLOWN,1,YEAR OF MY CAR AND MY CAR HAS A BLOWER,"HAS 05 CHEVY, PULLED FOR BLOWN",Y
WYRUMAD,2,WHY ARE YOU MAD,"because of ""YOU"" WHY ARE YOU MAD? TAUNTING",N
69PIGGY,5,ITS A 1969 LAND CRUISER. LAND CRUISERS ARE REFERRED TO AS IRON PIGS.,"HAS A 69 TOYOTA, PULLED FOR PIG",Y
BG BOOTY,1,BIG BACK,BIG BOOTY,N
E999058,6,THIS IS THE LICENSE PLATE FOR ENGINE 51 FROM THE 1970'S TV SHOW EMERGENCY,LOOK A LIKE,N
FISH916,2,IT'S MY BROTHER'S NICKNAME HE PASSED AWAY,916 AREA CODE,N
GM442,2,GENERAL MOTORS 442,442 AREA OCDE,Y
GOTSCAM,2,"MY GRANDFATHER THAT RECENTLY PASSED AWAY USED TO ALWAYS SAY HE GOT SCAMMED. ITS A FAMILY INSIDE JOKE, WE ALL PITCHED IN TO GET THESE COOL PLATES. HIS LEGACY LIVES ON",GOT SCAM,Y
GR8R1NU,1,GR8R1NU,GREATER IN YOU,N
JADEAD,2,SONG LYRICS,JAH DEAD,N
LOVE 323,2,LOVE AND MY BIRTHDAY,323 AREA CODE,N
NGRO805,2,MY TAHOE IS ALL BLACK,NEGRO AND 805 AREA CODE,N
NIPS17,1,NIPS IS MY NICK NAME MY HUSBAND GAVE ME AND THE 17 IS THE YEAR OF MY CAR.,NIPS SHORT FOR NIPPLES,N
N2IT2RU,2,IN TO OFF ROADDING.,"IN TO IT TO, ARE YOU?",Y
PEWXPEW,2,STAR WARS REFERENCE SOUND OF LASER GUNS,PEW PEW,N
PIPELAR,1,I AM A LICENSED PLUMBING CONTRACTOR. MY EMAIL IS PIPELAYERDAVE@YAHOO.COM,PIPE LAYER,N
RIAN707,2,THERE IS NO MEANING,707 AREA CODE,N
TACO53O,1,TOYOTA TACOMA AREA CODE 530,530 AREA CODE,N
TOR HMR,1,MIDDLE NAME AND NORDIC GOD,HMR HUMMER,Y
TWN SKRW,1,CAR HAS A KENNE BELL TWIN SCREW SUPERCHARGER ON IT. TWIN SCREW IS THE DESIGN AND STYLE OF IT,SCREW,N
WARTHG 1,2,WARTHOG 1,WAR THUG,Y
WAX4DAD,2,MY COMPANY NAME WWW.WAX4DADS.COM,WAX FOR DAD,N
WIN23I,6,SHORTENED VERSION OF A POPULAR BLACK POWDER.. WINCHESTER 231,LOOKS LIKE AN OLD AUTO,N
WRMACHN,2,"IT IS SHORT FOR WAR MACHINE, MY FAVORITE MARVEL SUPERHERO AND BEST FRIEND TO IRON MAN",WAR MACHINE,N
XADHDX,2,FOCUS,ADHD,Y
10851A1,6,FAVORITE NUMBER COMBINATION,LOOKS LIKE AN OLD TIN,N
235O7R1,2,THERE IS NO MEANING.IT IS THE LICENSE NUMBER THAT CAME WITH HIS TRUCK,LOOK A LIKE,N
25OO SD,6,2500 SD,LOOK A LIKE,N
4BBGOTS,2,4 BABY GOATS= 4 KIDS,4 BIGOTS,Y
4O164X1,2,NO MEANING,LOOK A LIKE,N
53O PONY,2,530 HORSE POWER,530 AREA CODE,N
619PRNT,2,619 PRINT,619 AREA CODE,N
8TONE8T,2,AUGUST 18TH MY BEST FRIEND'S BIRTHDAY.,818 AREA CODE,N
818VLLE,2,LIVE IN THE VALLEY 818,818 AREA CODE,N
CRV HGGR,1,"MY MAZDA MIATA LOVES TWISTY, CURVY ROADS",COULD REFER TO SPORTS CAR OR A WOMANS CURVES,Y
SHUTUPP,2,BE QUIET,SHUT UP,N
XR65OL8,2,HONDA XR650L 8,650 AREA CODE,Y
O818 HB,2,DATE: AUGUST 8. HUNNY HUNCHES (SHOULD BE BUNCHES?),SEEN AS 4 NUMBERS OR DOES THE AREA CODE STAND OUT?,N
HIFVEOH,2,HAWAI'I FIVE OH (5-0): LIKE THE TV SHOW,HI FIVE OH…HAWAII FIVE OH,N
8A 5OH,2,"MY LAST NAME IS OCHOA AND OCHO IS 8 IN SPANISH. ADDING THE ""A"" IS A SHORTER VERSION. THE 50H IS THE ENGINE LETTER 5.0",ATE A 5-0.. CUSTOMER HAS A FORD.,N
HOANGLS,2,HOME OF ANGELS,HO ANGELS,N
BENT BLU,2,THIS IS THE NAME OF A PIECE OF ART THAT WE OWN. ALSO SIMILAR TO OUR FAMILY'S EMAIL DOMAIN.,BLUE,Y
BL GATO,1,BLACK CAT,GATO MEANS CAT,Y
BLUE BLZ,1,BLUE IS THE COLOR OS THE CAR AND BELLZ IS THE NICK NAME WE GAVE HER,BLUE BALLS,N
B487801,6,"BIRTHDAY YEAR OF MY FATHER, SON AND MYSELF",TIN NUMBER,N
G BMW323,2,GABRIEL BMW 323,323 AREA CODE,Y
GBZY619,2,NAME AND BIRTHDAY.,619 AREA CODE,N
GLDN TRD,2,NICKNAME GIVEN TO ME BY MY UNCLE,GOLDEN TERD,N
HOT CAM,1,MEANS. GOOD LOOKING CAMARO,HOT CAM LIKE WEB CAM,Y
LO315O8,6,DATE OF MARRIAGE,TIN NUMBER,N
MI COCHE,1,SPANISH: MY CAR,MEANS MY CAR IN SPANISH BUT LOOKS LIKE MI COOCHIE,N
THE 650S,2,FOR MCLAREN 650S,650 AREA CODE,Y
Z117300,6,CAR 117 OF THE LAST 300,TIN NUMBER,N
12O3 HM,6,1203 HM,LOOK A LIKE,N
442 ROKT,2,THE VEHICLE IS AN OLSMOBILE 442 ROCKET,442 AREA CODE,Y
77O97F1,6,77097F1,COMMERCIAL LOOK A LIKE,N
92O22T1,6,CURRENT REGISTERED PLATE,COMMERCIAL LOOK A LIKE,N
KTYCAT,1,KITTY CAT,KITTY CAT,N
$NPLANB,1,LOVING PLAN B,LOVING PLAN B,Y
BMW HNTR,2,PLAYFUL JOKE,"bmw hunter, he has an Audi. So he's hunting down bmw drivers?",N
DMNBIRD,3,"DEMON BIRD, WHICH IS A NICKNAME FOR A FIREBIRD. CAR IS A FIREBIRD TRANS AM",DAMN BIRD,N
EIHT O5,2,THE TIME MY GRANDMOTHER LAID HER EYES TO REST,805 is his area code in Oxnard,N
LOL AT U,2,LAUGHING OUT LOUD AT YOU,laughing at YOU,Y
JPSTR 4$,2,NOT AVAILABLE ON QUICKWEB YET,"JEEP OR JAP, HAS 1984 'AMER' ON ANI, A JEEP?",Y
TAN TRD,2,TOYOTA RACING DEVELOPMENT (TRD) (TAN TRUCK),"TAN TURD, HAS A TOYOTA TRUCK",N
APOKLPS,2,APOCALYPSE,APOLCOLYPSE; WAR,Y
BAD BONE,1,BAD TO THE BONE SONG TITLE AND THIS CARS NICK NAME IN A FORD COMMERCIAL,BAD BONE,N
BBY MKRR,1,NOT ON QUICK WEB YET,BABY MAKER,N
HUSLLNN,2,HARD WORKER,HUSTLING,N
OKINAMI,2,NOT ON QUICK WEB YET,JAPANESE DESTROYER,N
VIILION,2,NOT ON QUICK WEB YET,VILLAIN,Y
DAAM DNL,3,"DO ALL AROUND MINDFUL DEEDS, NEVER LESS",DAMN DANIEL,N
E3M2Q3,6,GRANDKIDS INITIALS,323 AREA CODE,N
THK BLU,2,THINK BLUE,BLUE,Y
TURISTA,2,NICK NAME FOR CAR GROUP,DIAREHA WHILE ON VACATION,N
213HCO5,2,LOS ANGELES AREA CODE,213 AREA CODE,N
4QUINCE,2,SAN FRANCISCO AREA CODE IN SPANISH,415 AREA CODE,N
6UM730,6,"6, RATHER 7:30",GUM730 looks like an old auto,N
8O484K1,6,NO MEANING ITS THE SAME LETTERING AND NUMBERING AS THE ORIGINAL PLATES,LOOKS LIKE A COMMERCIAL,N
DTHPONY,2,"DEATH PONY, IT WAS A CHARACTER ON A TV SHOW.",DEATH PONY,N
ETOILE8,2,STAR IN FRENCH,TOILET,Y
LO9O9AD,2,USED TO HAVE A LICENSE PLATE WITH THESES NUMBERS AND LETTERS,909 AREA CODE,N
NULL 211,2,NULL 211,211 ROBERY,N
OFFICER,5,MY INFORMATION SECURITY OFFICER OCCUPATION,OFFICER,N
OO71OB2,6,ORIGINAL SEQUENTIAL NUMBERS ASSIGNED TO THE TRUCK.,REVERSE COMMERCIAL,N
O11I11O,6,JEEP'S LOGO,LOOK A LIKE,N
PURITTO,1,IT'S A MIX BETWEEN A CATS PURR AND A BURRITO MAKING IT PURITTO. A DOUBLE T WAS ADDED SO AS TO MAKE IT UNIQUE.,CAT WRAPPED UP,Y
Q111Q,6,JEEP'S LOGO,LOOK A LIKE,N
RBJZJNT,2,I ENJOY GOING TO RNB AND JAZZ JOINTS TO LISTEN TO LIVE MUSIC,CAN NOT TRANSLATE,Y
TWIST 69,1,PERSONALIZED LAST NAME,TWIST 69,N
WAGN 8U,2,CARS MODEL,ATE AL SO COULD MEAN TO BEAT,Y
YNG THG,2,ARTIST NAME,YOUNG THUG,N
1704AB,6,MY SONS BIRTHDAY,LOOK A LIKE,N
2017 GT,6,2017 FORD GT,LOOK A LIKE,N
2018 GT,6,YEAR AND MAKE OF CAR,LOOK A LIKE,N
BAD$BLU,2,BAD BLUE EYES,BLUE COLOR,Y
ILWAXIT,1,I'LL WAX IT,ILL WAX IT,N
LFEMBLU,2,LADY BLUE IN FENCH,BLUE,Y
LO12D,6,"BECAME A NICKNAME OF MINE, HOW IM KNOWN TO MY FRIENDS",CUSTOMER IS USIG THE 1 AND THE 2 TO MAKE AND R.. CUSTOMER LAST NAME IS LORD,Y
BLU BHDA,1,NICKNAME OF VEHICLE,blew Budda,Y
BLUE ME,1,SAD TIME IN MY LIFE AND CAR IS BLUE,BLEW ME,N
DAM DNYL,3,DAMN DANIEL,"Damn Daniel. FYI we denied DMN DNYL about a month ago for a different guy, also named Daniel",N
FARTFAN,3,FRESH AIR RIVERSE TRANSFER FAN,FART,N
JSTJPIN,2,JUST JEEPING,no jeep on ani. Jap?,Y
LTSTLKR,2,I AM A PHOTOGRAPHER AND I CHASE THE LIGHT,PULLED FOR STALKER,N
LUVMYJP,2,LOVE MY JEEP,no jeep on ani. Jap?,Y
L2LBULY,2,ITS A SMALL CAR,pulled for 'bully',N
MAKAI69,1,HAWAIIAN WORD FOR OCEAN AND THE YEAR I WAS BORN,"no 69 car on ani, was born in 1969.",N
MCX69,1,"MY INITIALS (MARINA CARDENAS) AND MY BIRTHDAY (JUNE 9, 1976)",NO 69 CAR ON ANI,N
MEANTRD,2,MEAN TOYOTA RACING DEVELOPMENT,MEAN TURD,N
NST CAT,1,VERY FAST CAT,has a 1967 Chevy.. Cat car? cant think of one. Nasty cat. A nasty dude,N
PORKY,2,IT'S MY NICKNAME FOR THE CAR,"INSULTING WAY TO SAY 'FAT', PORKYYY WAS DENIED 7/2015",N
RAH1969,1,MY INITIALS AND YEAR OF BIRTH,"is birth year, no 69 car",N
U RAMIT,1,NONE,"DOES HAVE A DODGE, OK?",N
26T8MUP,1,"THE CAR IS A 26 MODEL T FORD, ITS GOING TO BE PAINTED PURPLE, ITS NICKNAME IS THE PURPLE PEOPLE EATER","ate em up, DOES HAVE A 26 FORD",Y
6 CHORNI,1,CHORNI MEANS BLACK IN RUSSIAN. CAR IS BLACK.,"google translate  says it means ""horney""",N
69BCUDA,1,FOR A 1969 BARRACUDA,don’t find a 69 on ani but plate clearly describes a 1969 car,Y
8 1UP,1,INFINITE 1 UP GAMING TERM FOR HAVING UNLIMITED LIFES,ATE ONE UP,N
#GSTNGA,2,LAST NAME OF REGISTERED OWNER,"NGA… A GIFT FOR CUSTOMER, LAST NAME IS GASTANAGA",N
DRONCOP,5,WE SHOULD BE PROTECTED,drone cop? Pulled for cop,N
STONZE,3,ROLLING STONES,stones can mean balls. STONES has been out since 1986,Y
FATDAWG,2,NICKNAME,FAT DOG,Y
FMRGMAN,5,RETIRED FBI AGENT,"FORMER G MAN, G MAN IS A FEDERAL AGENT",Y
LILLTRD,3,TRUCK NAME,LIL' TURD,N
MUGGINN,2,MAD LOOKING FRONT BUMPER,MEAN MUGGIN….. MUGGIN-ROBBERY,N
ARSEN 3D,2,ARSEN IS MY NAME AND I AM A 3D DESIGNER.,ARSEN TO BURN PURPOSELY,Y
BENZOVR,2,I BOUGHT A MERCEDES BENZ OVER A BMW,BEND OVER,N
BIG DMY,2,NICKNAME,BIG DUMMY,N
GDTUP 66,2,GIDDY UP 66 MUSTANG,GET IT UP,N
